Site,Product,"Initial Inventory","Inventory Policy","Reorder Point","Reorder/Order Up To Qty","Review Period","Forecast Name","Forecast Aggregation Period","Forecast Disaggregation Pattern","DOS Window","DOS Planning Lead Time","Unit Inbound Cost","Fixed Inbound Shipment Cost","Unit Outbound Cost","Fixed Outbound Shipment Cost","Unit Storage Cost","Unit Disposal Cost","Unit Consignment Cost","Fixed Consignment Cost","Inv Carrying Cost%","Stocking Site","Product Inventory Value","Product Taxable Value","Inventory Turns","Unhealthy Turn Percent","Fixed Excess Stock","Excess Move Percent","Inbound Capacity","Outbound Capacity","Constraint Period","Maximum Inventory","Minimum Inventory","Safety Stock","Minimum Safety Stock","Maximum Safety Stock","Allow Partial Fill","Service Requirement","Minimum Service Time","Maximum Service Time","Minimum Dwell Time","Maximum Dwell Time","Unit Delay Factor","Fixed Order Delay Factor","Service Type",Status,Notes
WA010,310726_WA002_101_3035A-9999A-9999E_103D,,"","","","","","","","","","","","","","",900,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_102D,,"","","","","","","","","","","","","","",950,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_101D,,"","","","","","","","","","","","","","",1000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_100D,,"","","","","","","","","","","","","","",1050,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_99D,,"","","","","","","","","","","","","","",1100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_98D,,"","","","","","","","","","","","","","",1150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_97D,,"","","","","","","","","","","","","","",1200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_96D,,"","","","","","","","","","","","","","",1250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_95D,,"","","","","","","","","","","","","","",1300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_94D,,"","","","","","","","","","","","","","",1350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_93D,,"","","","","","","","","","","","","","",1400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_92D,,"","","","","","","","","","","","","","",1450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_91D,,"","","","","","","","","","","","","","",1500,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_90D,,"","","","","","","","","","","","","","",1550,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_89D,,"","","","","","","","","","","","","","",1600,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_88D,,"","","","","","","","","","","","","","",1650,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_87D,,"","","","","","","","","","","","","","",1700,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_86D,,"","","","","","","","","","","","","","",1750,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_85D,,"","","","","","","","","","","","","","",1800,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_84D,,"","","","","","","","","","","","","","",1850,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_83D,,"","","","","","","","","","","","","","",1900,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_82D,,"","","","","","","","","","","","","","",1950,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_81D,,"","","","","","","","","","","","","","",2000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_80D,,"","","","","","","","","","","","","","",2050,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_79D,,"","","","","","","","","","","","","","",2100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_78D,,"","","","","","","","","","","","","","",2150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_77D,,"","","","","","","","","","","","","","",2200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_76D,,"","","","","","","","","","","","","","",2250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_75D,,"","","","","","","","","","","","","","",2300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_74D,,"","","","","","","","","","","","","","",2350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_73D,,"","","","","","","","","","","","","","",2400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_72D,,"","","","","","","","","","","","","","",2450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_71D,,"","","","","","","","","","","","","","",2500,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_70D,,"","","","","","","","","","","","","","",2550,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_69D,,"","","","","","","","","","","","","","",2600,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_68D,,"","","","","","","","","","","","","","",2650,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_67D,,"","","","","","","","","","","","","","",2700,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_66D,,"","","","","","","","","","","","","","",2750,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_65D,,"","","","","","","","","","","","","","",2800,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_64D,,"","","","","","","","","","","","","","",2850,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_63D,,"","","","","","","","","","","","","","",2900,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_62D,,"","","","","","","","","","","","","","",2950,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_61D,,"","","","","","","","","","","","","","",3000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_60D,,"","","","","","","","","","","","","","",3050,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_59D,,"","","","","","","","","","","","","","",3100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_58D,,"","","","","","","","","","","","","","",3150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_57D,,"","","","","","","","","","","","","","",3200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_56D,,"","","","","","","","","","","","","","",3250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_55D,,"","","","","","","","","","","","","","",3300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_54D,,"","","","","","","","","","","","","","",3350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_53D,,"","","","","","","","","","","","","","",3400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA010,310726_WA002_101_3035A-9999A-9999E_52D,,"","","","","","","","","","","","","","",3450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_120D,,"","","","","","","","","","","","","","",50,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_119D,,"","","","","","","","","","","","","","",100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_118D,,"","","","","","","","","","","","","","",150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_117D,,"","","","","","","","","","","","","","",200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_116D,,"","","","","","","","","","","","","","",250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_115D,,"","","","","","","","","","","","","","",300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_114D,,"","","","","","","","","","","","","","",350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_113D,,"","","","","","","","","","","","","","",400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_112D,,"","","","","","","","","","","","","","",450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_111D,,"","","","","","","","","","","","","","",500,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_110D,,"","","","","","","","","","","","","","",550,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_109D,,"","","","","","","","","","","","","","",600,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_108D,,"","","","","","","","","","","","","","",650,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_107D,,"","","","","","","","","","","","","","",700,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_106D,,"","","","","","","","","","","","","","",750,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_105D,,"","","","","","","","","","","","","","",800,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_104D,,"","","","","","","","","","","","","","",850,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_103D,,"","","","","","","","","","","","","","",900,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_102D,,"","","","","","","","","","","","","","",950,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_101D,,"","","","","","","","","","","","","","",1000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_100D,,"","","","","","","","","","","","","","",1050,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_99D,,"","","","","","","","","","","","","","",1100,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_98D,,"","","","","","","","","","","","","","",1150,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_97D,,"","","","","","","","","","","","","","",1200,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_96D,,"","","","","","","","","","","","","","",1250,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_95D,,"","","","","","","","","","","","","","",1300,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_94D,,"","","","","","","","","","","","","","",1350,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_93D,,"","","","","","","","","","","","","","",1400,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_92D,,"","","","","","","","","","","","","","",1450,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_91D,,"","","","","","","","","","","","","","",1500,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_90D,,"","","","","","","","","","","","","","",1550,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_89D,,"","","","","","","","","","","","","","",1600,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_88D,,"","","","","","","","","","","","","","",1650,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
WA003,310726_WA002_101_9999A_87D,,"","","","","","","","","","","","","","",1700,"","","","","","","","","","","","","","","","","","","","","","","","","","","",include,""
